"LogID","UserID","WorkoutID","Date"
1,"1","9","2024-01-04 00:00:00"
2,"1","12","2020-04-22 00:00:00"
3,"1","4","2022-03-14 00:00:00"
4,"1","17","2020-04-02 00:00:00"
5,"1","16","2022-02-03 00:00:00"
6,"2","1","2023-04-05 00:00:00"
7,"2","18","2021-12-11 00:00:00"
8,"2","11","2021-06-05 00:00:00"
9,"2","13","2021-09-07 00:00:00"
10,"2","3","2024-03-17 00:00:00"
11,"3","18","2022-10-30 00:00:00"
12,"3","16","2020-09-04 00:00:00"
13,"3","24","2020-10-13 00:00:00"
14,"3","12","2023-06-15 00:00:00"
15,"3","21","2024-02-07 00:00:00"
16,"4","2","2020-02-23 00:00:00"
17,"4","4","2022-11-23 00:00:00"
18,"4","21","2023-03-06 00:00:00"
19,"4","11","2023-08-23 00:00:00"
20,"4","16","2023-09-11 00:00:00"
21,"5","2","2021-04-01 00:00:00"
22,"5","5","2021-03-27 00:00:00"
23,"5","16","2021-07-14 00:00:00"
24,"5","17","2023-03-11 00:00:00"
25,"5","12","2021-12-27 00:00:00"
26,"6","17","2024-01-03 00:00:00"
27,"6","24","2020-10-31 00:00:00"
28,"6","19","2023-01-21 00:00:00"
29,"6","2","2020-02-02 00:00:00"
30,"6","13","2022-09-02 00:00:00"
31,"7","16","2020-12-04 00:00:00"
32,"7","5","2021-08-16 00:00:00"
33,"7","12","2023-10-19 00:00:00"
34,"7","17","2020-03-03 00:00:00"
35,"7","2","2023-08-29 00:00:00"
36,"8","18","2021-10-05 00:00:00"
37,"8","22","2021-03-01 00:00:00"
38,"8","1","2022-11-30 00:00:00"
39,"8","24","2021-12-22 00:00:00"
40,"8","3","2022-05-12 00:00:00"
41,"9","16","2023-12-25 00:00:00"
42,"9","17","2022-11-25 00:00:00"
43,"9","2","2020-10-14 00:00:00"
44,"9","12","2021-07-03 00:00:00"
45,"9","5","2022-05-24 00:00:00"
46,"10","21","2020-11-19 00:00:00"
47,"10","13","2021-08-29 00:00:00"
48,"10","16","2023-12-18 00:00:00"
49,"10","24","2023-06-11 00:00:00"
50,"10","9","2020-05-16 00:00:00"
