ITEM_ID,NAME,DESCRIPTION,TYPE,GENRES,LEVEL,EQUIPMENT,CREATION_TIMESTAMP
1,Machine Low Row,The machine low row is an exercise targeting the back muscles.,Strength,Middle Back,Intermediate,Machine,2165001341515.3523
2,Smith Machine Incline Bench Press,"The Smith machine incline bench press is a machine-based movement targeting the chest, particularly the upper chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.",Strength,Chest,Advanced,Machine,7335444943022.078
3,Kettlebell deadlift,"The kettlebell deadlift is a foundational movement in kettlebell training. It's often taught as a buildup or regression to the kettlebell swing, as well as to instruct the ""hip hinge"" motion in a more approachable manner than with a barbell.",Strength,Lower Back,Beginner,Kettlebells,9334227860876.129
4,Incline straight-arm pull-over,"The incline straight-arm pull-over is an upper-body exercise targeting the chest and lats (latissimus dorsi). Performing it on an incline bench emphasizes the stretch on the chest in particular. If this movement causes pain in the front of the shoulders, perform it with a more limited range of motion or try pull-overs using a high cable stack instead. Pull-over variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of chest or back-focused upper-body training.",Strength,Lats,Intermediate,Other,4518875322381.288
5,Standing alternating band speed row,"The standing alternating band speed row is an explosive back exercise using exercise bands. It targets the muscles of the middle and upper back, including the lats (latissimus dorsi), rhomboids, and trapezius, as well as the biceps. It can be performed for time or reps either as part of a power or speed-focused portion of a workout or as a burnout at the end of a workout.",Strength,Forearms,Advanced,Bands,1377910470409.207
6,Push-jerk,"The push-jerk is a movement in which the barbell is pushed from the front rack position to overhead with help from the legs. It differs from the push-press in that the lifter dips under the bar rather than simply pushing it up. It is popular in CrossFit workouts and Olympic weightlifting, as well as power training for athletics. It is usually performed for low reps, focusing on power and movement quality.",Other,Quadriceps,Intermediate,Barbell,8531287829592.309
7,Seated Hamstring Curl - Gethin Variation,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Beginner,Machine,4310105743278.002
8,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,The reverse hack squat calf raise is a varation of the standing calf raise to target them in a different manner.,Strength,Calves,Beginner,Machine,7129652115591.655
9,Lateral box jump,"The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports, including basketball, skiing, and tennis.",Strength,Adductors,Intermediate,Other,8879013325996.191
10,Band roundhouse elbow,"The band roundhouse elbow is an explosive rotational power exercise using exercise bands. It targets the muscles of the obliques and deep core, but also engrains full-body coordination and striking ability. It can work in an ab workout, in martial arts training, or in general strength and muscle training.",Other,Forearms,Beginner,Bands,1515969019434.5288
11,Seated cable biceps curl,The seated cable biceps curl is a single-joint arm exercise intended to isolate the biceps. The seated position helps eliminate the use of momentum. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.,Strength,Biceps,Intermediate,Cable,1316980624342.9705
12,Russian Bar Dip,"The Russian dip is a chest-and-triceps building exercise that resembles the chest dip, albeit with a twist that makes it even harder and more taxing.",Strength,Triceps,Advanced,Body Only,4684168045126.027
13,Partner medicine ball sit-up,"The partner medicine ball sit-up is a more difficult version of the traditional abdominal exercise. Two partners pass a medicine ball back and forth at the top of each rep, so each one must alternate a weighted rep with an unweighted rep. This technique can be done for reps or time in any ab-focused workout, in an ""I go, you go"" format.",Strength,Abdominals,Intermediate,Medicine Ball,4213506259860.357
14,ACFT Hanging leg tuck,"The hanging leg tuck is an exercise targeting the entire body, including the arms, upper back, abs, and hip flexors. This specific exercise is part of the new Army Combat Fitness Test or ACFT. It is performe while hanging from a bar and combines elements of a pull-up with a leg raise. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Other,Abdominals,Intermediate,Body Only,6258424844824.608
15,Medicine ball duck walk,"The medicine ball duck walk is a dynamic medicine ball movement that challenges both the upper and lower body, while also elevating the heart rate. It's a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs.",Other,Glutes,Beginner,Medicine Ball,5692818546054.85
16,Band seated row,"The band seated row is a band alternative to the popular cable exercise and trains the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids. It also targets the biceps to a lesser degree. The band row can work well in a variety of rep ranges, requiring a heavier band for muscle-building and strength workouts and a lighter band for weight-loss work and as an accessory movement.",Strength,Traps,Advanced,Bands,7135654715162.078
17,Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Abductors,Advanced,Machine,9019188000922.123
18,Smith Machine Calf Raise,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Strength,Calves,Intermediate,Machine,82294171506.76266
19,FYR Bear Crawl Shoulder Tap,"The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.",Strength,Abdominals,Intermediate,Body Only,609851904683.7903
